NU_ANO_CENSO,NO_REGIAO,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_LOCALIZACAO,SUM_MAT_QT_BAS,SUM_MAT_FUND_AI,SUM_MAT_BAS_ND,SUM_MAT_BAS_BRANCA,SUM_MAT_BAS_PRETA,SUM_MAT_BAS_PARDA,SUM_MAT_BAS_AMARELA,SUM_MAT_BAS_INDIGENA
2012.0,Sul,3.0,0.0,2.0,272619.0,168895.0,98147.0,149380.0,3738.0,19784.0,640.0,930.0
2012.0,Sul,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sul,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sul,4.0,1.0,1.0,579511.0,145327.0,220622.0,331944.0,5286.0,16860.0,4442.0,357.0
2012.0,Sul,4.0,1.0,2.0,1156.0,312.0,287.0,763.0,3.0,83.0,18.0,2.0
2012.0,Sul,4.0,2.0,1.0,34238.0,3347.0,9882.0,19584.0,2321.0,2274.0,136.0,41.0
2012.0,Sul,4.0,2.0,2.0,242.0,5.0,69.0,150.0,4.0,19.0,0.0,0.0
2012.0,Sul,4.0,3.0,1.0,19617.0,7284.0,9280.0,9562.0,177.0,477.0,106.0,15.0
2012.0,Sul,4.0,3.0,2.0,566.0,4.0,280.0,265.0,9.0,12.0,0.0,0.0
2012.0,Sul,4.0,4.0,1.0,342986.0,103186.0,146061.0,173920.0,5949.0,15804.0,963.0,289.0
2012.0,Sul,4.0,4.0,2.0,1670.0,344.0,674.0,829.0,44.0,111.0,9.0,3.0
2013.0,Centro-Oeste,1.0,0.0,1.0,16682.0,265.0,8366.0,3740.0,678.0,3616.0,253.0,29.0
2013.0,Centro-Oeste,1.0,0.0,2.0,6436.0,0.0,2978.0,1501.0,301.0,1501.0,141.0,14.0
2013.0,Centro-Oeste,2.0,0.0,1.0,1562664.0,296751.0,770960.0,273297.0,30726.0,466686.0,16649.0,4346.0
2013.0,Centro-Oeste,2.0,0.0,2.0,90807.0,24519.0,47892.0,12055.0,1492.0,19384.0,389.0,9595.0
2013.0,Centro-Oeste,3.0,0.0,1.0,1158133.0,602007.0,364181.0,297413.0,25960.0,460703.0,5603.0,4273.0
2013.0,Centro-Oeste,3.0,0.0,2.0,142435.0,79053.0,54850.0,22811.0,2531.0,38449.0,636.0,23158.0
2013.0,Centro-Oeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
